code,name
1332,ニッスイ
1605,ＩＮＰＥＸ
1721,コムシスＨＤ
1801,大成建
1802,大林組
1803,清水建
1808,長谷工
1812,鹿 島
1925,大和ハウス
1928,積水ハウス
1963,日揮ＨＤ
2002,日清粉Ｇ
2269,明治ＨＤ
2282,日本ハム
2413,エムスリー
2432,ＤｅＮＡ
2501,サッポロビー
2502,アサヒ
2503,キリンＨＤ
2768,双 日
2801,キッコーマン
2802,味の素
285A,キオクシアＨＤ
2871,ニチレイ
2914,Ｊ Ｔ
3086,Ｊフロント
3092,ＺＯＺＯ
3099,ミツコシイセタン
3289,東急不ＨＤ
3382,７＆Ｉ－ＨＤ
3401,帝 人
3402,東 レ
3405,クラレ
3407,旭化成
3436,ＳＵＭＣＯ
3659,ネクソン
3697,ＳＨＩＦＴ
3861,王子ＨＤ
4004,レゾナックＨＤ
4005,住友化
4021,日産化
4042,東ソー
4043,トクヤマ
4061,デンカ
4062,イビデン
4063,信越化
4151,協和キリン
4183,三井化学
4188,三菱ケミＧ
4208,ＵＢＥ
4307,ＮＲＩ
4324,電通Ｇ
4385,メルカリ
4452,花 王
4502,武 田
4503,アステラス薬
4506,住友ファーマ
4507,塩野義
4519,中外薬
4523,エーザイ
4543,テルモ
4568,第一三共
4578,大塚ＨＤ
4661,ＯＬＣ
4689,ＬＩＮＥヤフー
4704,トレンド
4751,サイバエージ
4755,楽天Ｇ
4901,富士フイルム
4902,コニカミノルタ
4911,資生堂
5019,出光興産
5020,ＥＮＥＯＳ
5101,浜ゴム
5108,ブリヂストン
5201,ＡＧＣ
5214,日電硝
5233,太平洋セメ
5301,東海カーボ
5332,ＴＯＴＯ
5333,ＮＧＫ
5401,日本製鉄
5406,神戸鋼
5411,ＪＦＥ
543A,ＡＲＣＨＩＯＮ
5631,日製鋼
5706,三井金属
5711,三菱マ
5713,住友鉱
5714,ＤＯＷＡ
5801,古河電
5802,住友電
5803,フジクラ
5831,しずおか
6098,リクルートＨＤ
6103,オークマ
6113,アマダ
6146,ディスコ
6178,日本郵政
6273,ＳＭＣ
6301,コマツ
6302,住友重
6305,日立建
6326,クボタ
6361,荏 原
6367,ダイキン
6471,日精工
6472,ＮＴＮ
6473,ジェイテクト
6479,ミネベアミツミ
6501,日 立
6503,三菱電
6504,富士電機
6506,安川電
6526,ソシオネクスト
6532,ベイカレント
6645,オムロン
6701,ＮＥＣ
6702,富士通
6723,ルネサス
6724,エプソン
6752,パナソニックＨ
6753,シャープ
6758,ソニーＧ
6762,ＴＤＫ
6770,アルプスアル
6841,横河電
6857,アドバンテ
6861,キーエンス
6902,デンソー
6920,レーザーテク
6954,ファナック
6963,ローム
6971,京セラ
6976,太陽誘電
6981,村田製
6988,日東電
7004,カナデビア
7011,三菱重
7012,川 重
7013,ＩＨＩ
7186,横浜ＦＧ
7201,日産自
7202,いすゞ
7203,トヨタ
7211,三菱自
7261,マツダ
7267,ホンダ
7269,スズキ
7270,ＳＵＢＡＲＵ
7272,ヤマハ 発
7453,良品計画
7532,パンパシＨＤ
7731,ニコン
7733,オリンパス
7735,スクリン
7741,ＨＯＹＡ
7751,キヤノン
7752,リコー
7832,バンダイナム
7911,ＴＯＰＰＡＮＨＤ
7912,大日印
7951,ヤマハ
7974,任天堂
8001,伊藤忠
8002,丸 紅
8015,豊通商
8031,三井物
8035,東エレク
8053,住友商
8058,三菱商
8233,高島屋
8252,丸井Ｇ
8253,クレセゾン
8267,イオン
8304,あおぞら
8306,三菱ＵＦＪ
8308,りそなＨＤ
8309,三住トラスト
8316,三井住友
8331,千葉銀
8354,ふくおか
8411,みずほ
8591,オリックス
8601,大和証Ｇ
8604,野村ＨＤ
8630,ＳＯＭＰＯＨＤ
8697,ＪＰＸ
8725,ＭＳ＆ＡＤ
8750,第一ライフＧ
8766,東京海上
8795,Ｔ＆ＤＨＤ
8801,三井不
8802,菱地所
8804,東建物
8830,住友不
9001,東 武
9005,東 急
9007,小田急
9008,京 王
9009,京 成
9020,ＪＲ東日本
9021,ＪＲ西日本
9022,ＪＲ東海
9064,ヤマトＨＤ
9101,郵 船
9104,商船三井
9107,川崎船
9147,ＮＸＨＤ
9201,ＪＡＬ
9202,ＡＮＡ
9432,ＮＴＴ
9433,ＫＤＤＩ
9434,ソフトバンク
9501,東電力ＨＤ
9502,中部電
9503,関西電
9531,東ガス
9532,大ガス
9602,東 宝
9735,セコム
9766,コナミＧ
9843,ニトリＨＤ
9983,ファーストリテイ
9984,ソフトバンクＧ
